Distannce(in m),RSSI Value (dB
22,-67
3,-50
4,-51
123,-82
44,-73
34,-71
98,-80
243,-88
9,-59
49,-74
4,-53
86,-79
77,-78
61,-76
69,-77
99,-80
306,-90
4,-52
3,-50
22,-67
28,-69
193,-86
18,-65
86,-79
69,-77
61,-76
62,-76
16,-64
20,-66
31,-70
154,-84
137,-83
24,-68
54,-75
31,-70
27,-69
43,-73
49,-74
14,-63
2,-47
20,-66
14,-63
154,-84
6,-56
86,-79
77,-78
24,-68
19,-66
123,-82
69,-77
77,-78
35,-71
138,-83
4,-51
11,-61
8,-58
2,-48
69,-77
10,-60
11,-61
54,-75
86,-79
97,-80
109,-81
97,-80
219,-87
195,-86
56,-75
122,-82
88,-79
99,-80
69,-77
110,-81
243,-88
78,-78
43,-73
39,-72
86,-79
2,-48
16,-64
14,-63
27,-69
31,-70
1,-33
3,-51
97,-80
62,-76
14,-63
122,-82
193,-86
122,-82
2,-48
16,-64
14,-63
27,-69
31,-70
3,-51
97,-80
62,-76
14,-63
122,-82
